Id,PublisherId,PublisherName,Status,LastPostDate,TimeSinceLastPost_Days,PostsCount_Sep2025_Jan2026,PostsCount_Jan2026_Today,TotalDistinctPostsTracked,DataStatus,ActivationStatus
26787035,10024290898,Alexis Adegoke,Active,2026-02-22,142,0,1,1,Verified,Newly Activated
26787090,10024290953,Kashia Palmer,Active,Pending,,,,,Pending,Pending - data not yet available
26792180,10024296022,Kendall Mariah Tart,Active,Pending,,,,,Pending,Pending - data not yet available
26794285,10024298130,thaicaliente,Active,Pending,,,,,Pending,Pending - data not yet available
26809713,10024313460,Natalie Whelchel,Active,,,0,0,0,Verified,Never Activated
26812637,10024316515,Alix,Active,Pending,,,,,Pending,Pending - data not yet available
26812646,10024316524,Callahan Rahm,Active,Pending,,,,,Pending,Pending - data not yet available
26870210,10024377069,Niyah Gonzalez,Active,Pending,,,,,Pending,Pending - data not yet available
26895627,10024404427,Ashley Allison,Active,,,0,0,0,Verified,Never Activated
26922425,10024432084,Jess Val Ortiz,Active,Pending,,,,,Pending,Pending - data not yet available
26923256,10024433057,EDEN LEE || intentional motherhood,Active,Pending,,,,,Pending,Pending - data not yet available
26941571,10024451612,Eliana Jalali,Active,Pending,,,,,Pending,Pending - data not yet available
26941635,10024451676,Milagro Valenzuela Morales,Active,,,0,0,0,Verified,Never Activated
26942911,10024453426,alilscribble,Active,Pending,,,,,Pending,Pending - data not yet available
26947320,10024457866,Malia💜🦋,Active,,,0,0,0,Verified,Never Activated
26947530,10024458066,Hailee Catalano,Active,,,0,0,0,Verified,Never Activated
26954732,10024465072,Brooke Ballantyne,Active,Pending,,,,,Pending,Pending - data not yet available
26954734,10024465074,Salena,Active,,,0,0,0,Verified,Never Activated
26956933,10024467263,itsnataliecass,Active,Pending,,,,,Pending,Pending - data not yet available
26981106,10024490781,alyboekholder,Active,,,0,0,0,Verified,Never Activated
26981209,10024490884,Valentina Perez,Active,Pending,,,,,Pending,Pending - data not yet available
26982032,10024491655,Alexandria L,Active,Pending,,,,,Pending,Pending - data not yet available
27007388,10024516878,Allison,Active,Pending,,,,,Pending,Pending - data not yet available
27024276,10024533858,Cessalee Pullin,Active,Pending,,,,,Pending,Pending - data not yet available
27024289,10024533872,Kyndal,Active,Pending,,,,,Pending,Pending - data not yet available
27030454,10024539943,Esmeralda,Active,Pending,,,,,Pending,Pending - data not yet available
27030465,10024539954,Nicole Riley - Crochet Patterns & Tutorials🧶,Active,Pending,,,,,Pending,Pending - data not yet available
27044961,10024555029,natalie bula,Active,Pending,,,,,Pending,Pending - data not yet available
27045263,10024555324,Pascale Charles,Active,,,0,0,0,Verified,Never Activated
27045317,10024555378,Natalia Gabriela Domínguez,Active,Pending,,,,,Pending,Pending - data not yet available
27057558,10024567363,ALEX WHITAKER CHEADLE | LIFE AFTER CANCER 💖🎗,Active,Pending,,,,,Pending,Pending - data not yet available
27069858,10024579156,Dr. Afi Martinez | Virtual programming | Chiropractor,Active,Pending,,,,,Pending,Pending - data not yet available
27070483,10024579775,peytdalecollins,Active,2026-03-26,110,0,1,1,Verified,Newly Activated
27079289,10024588440,Alexa Rae,Active,Pending,,,,,Pending,Pending - data not yet available
27079300,10024588451,Lindsay Albanese,Active,Pending,,,,,Pending,Pending - data not yet available
27079362,10024588513,Adalynn Toma ☻,Active,,,0,0,0,Verified,Never Activated
27081774,10024590866,Hazel Balajonda,Active,Pending,,,,,Pending,Pending - data not yet available
27081796,10024590887,Celeste Baral,Active,Pending,,,,,Pending,Pending - data not yet available
27082364,10024591485,Briana Owen | Holistic Health 🌱,Active,Pending,,,,,Pending,Pending - data not yet available
27108823,10024617751,Alessia ♡  Christian Youtuber,Active,,,0,0,0,Verified,Never Activated
27108971,10024617890,that pretty gal ricc🌟,Active,Pending,,,,,Pending,Pending - data not yet available
27108972,10024617891,Alisha | Lifestyle & Fashion,Active,,,0,0,0,Verified,Never Activated
27109021,10024617925,Aliyah • Travel + Wellness,Active,,,0,0,0,Verified,Never Activated
27109029,10024617932,Alicia Bice,Active,,,0,0,0,Verified,Never Activated
27109112,10024618092,Lindsey Alina,Active,Pending,,,,,Pending,Pending - data not yet available
27110839,10024619765,Kayla Kowalski,Active,,,0,0,0,Verified,Never Activated
27111239,10024620323,Jen | Home Decor & Everyday Life in Baltimore,Active,Pending,,,,,Pending,Pending - data not yet available
27124299,10024633212,alyssa pulley,Active,Pending,,,,,Pending,Pending - data not yet available
27125092,10024633978,SAVANNA ALEXIS🦋🌈🌺,Active,Pending,,,,,Pending,Pending - data not yet available
27128060,10024636909,Stephanie McDonald,Active,Pending,,,,,Pending,Pending - data not yet available
27128789,10024637672,Jessica Valentina Gallardo-Buenrostro,Active,Pending,,,,,Pending,Pending - data not yet available
27139684,10024647742,ALISON STROMING,Active,Pending,,,,,Pending,Pending - data not yet available
27139751,10024647809,malakaithegreat,Active,Pending,,,,,Pending,Pending - data not yet available
27142361,10024650374,Alexis Luna,Active,Pending,,,,,Pending,Pending - data not yet available
27142487,10024650501,thesilfalcs,Active,,,0,0,0,Verified,Never Activated
27164933,10024672721,Alexandra Faafetai • L.A. Creator,Active,Pending,,,,,Pending,Pending - data not yet available
27197897,10024705566,Alessandra Davila,Active,Pending,,,,,Pending,Pending - data not yet available
27198374,10024706038,Natalie Rose,Active,Pending,,,,,Pending,Pending - data not yet available
27198425,10024706091,Jessica Boscarini: Gut | Hormones | Mental Wellness,Active,,,0,0,0,Verified,Never Activated
27224328,10024731745,Crystal Milutinovic,Active,,,0,0,0,Verified,Never Activated
27229452,10024736827,alexandra erickson,Active,Pending,,,,,Pending,Pending - data not yet available
27231405,10024738918,Kenishia | Dallas Content Creator,Active,Pending,,,,,Pending,Pending - data not yet available
27232312,10024739779,KAYLEE MURTLE✌🏼| HEALTH + TRAVEL,Active,Pending,,,,,Pending,Pending - data not yet available
27268086,10024774990,NATALIE MACRITCHIE💕,Active,Pending,,,,,Pending,Pending - data not yet available
27268107,10024775011,mrsvalenciaj,Active,Pending,,,,,Pending,Pending - data not yet available
27276891,10024783692,alyssekatherine,Active,Pending,,,,,Pending,Pending - data not yet available
27279795,10024786681,halliewood_styles,Active,Pending,,,,,Pending,Pending - data not yet available
27319187,10024825891,Alondra Sublett,Active,Pending,,,,,Pending,Pending - data not yet available
27338637,10024845390,salizzlee,Active,Pending,,,,,Pending,Pending - data not yet available
27347461,10024854397,Alida Matos,Active,Pending,,,,,Pending,Pending - data not yet available
27347565,10024854469,Easy Healthy Recipes by Jazz Leaf,Active,Pending,,,,,Pending,Pending - data not yet available
27347913,10024854818,NaturallyAri,Active,Pending,,,,,Pending,Pending - data not yet available
27366754,10024873453,Alessia Oronzio,Active,Pending,,,,,Pending,Pending - data not yet available
27366767,10024873466,kristalthekurator,Active,Pending,,,,,Pending,Pending - data not yet available
27370374,10024877066,Paloma Avila,Active,Pending,,,,,Pending,Pending - data not yet available
27397976,10024904081,Alyssa Patterson,Active,Pending,,,,,Pending,Pending - data not yet available
27398888,10024905088,mariannepalomaaa,Active,,,0,0,0,Verified,Never Activated
27398889,10024905089,Allie Curtin,Active,Pending,,,,,Pending,Pending - data not yet available
27398904,10024905104,Talks With Tanisha,Active,Pending,,,,,Pending,Pending - data not yet available
27429499,10024935576,Lyndi Carnal,Active,Pending,,,,,Pending,Pending - data not yet available
27440339,10024946360,mamatriedofficial,Active,Pending,,,,,Pending,Pending - data not yet available
27461895,10024967784,All Things Madison Blog,Active,Pending,,,,,Pending,Pending - data not yet available
27461973,10024967820,chloecall987,Active,,,0,0,0,Verified,Never Activated
27470078,10024975885,Wear it with Allurée | Size 12/14,Active,Pending,,,,,Pending,Pending - data not yet available
27566129,10025071560,lauravalerialpz,Active,Pending,,,,,Pending,Pending - data not yet available
27595130,10025100674,aerialelisee,Active,Pending,,,,,Pending,Pending - data not yet available
27662906,10025167992,mallorypeasley,Active,Pending,,,,,Pending,Pending - data not yet available
27688338,10025193384,Loice  Liani  Natalia and Dada ❤️,Active,Pending,,,,,Pending,Pending - data not yet available
27688342,10025193388,Alix Benton,Active,,,0,0,0,Verified,Never Activated
27772156,10025277041,Sandra Walters,Active,,,0,0,0,Verified,Never Activated
27772380,10025277262,Erica Wald | Prenatal + Postpartum Fitness Coach,Active,Pending,,,,,Pending,Pending - data not yet available
27774215,10025279027,Lali S.,Active,,,0,0,0,Verified,Never Activated
27856887,10025361577,Ronald W. Thomas II,Active,Pending,,,,,Pending,Pending - data not yet available
27858259,10025362908,Emily | Running  Strength & Hormone Health,Active,Pending,,,,,Pending,Pending - data not yet available
27860609,10025365252,Alyssa024_,Active,Pending,,,,,Pending,Pending - data not yet available
27895005,10025399485,Moises Avalos,Active,Pending,,,,,Pending,Pending - data not yet available
27921618,10025425450,voyageswithval,Active,Pending,,,,,Pending,Pending - data not yet available
27921693,10025425529,Alina Inacio,Active,Pending,,,,,Pending,Pending - data not yet available
27921919,10025425955,alexandra.yargeau,Active,Pending,,,,,Pending,Pending - data not yet available
27927120,10025431444,Alexandra,Active,,,0,0,0,Verified,Never Activated
27927520,10025431827,Natalie J. Moe | Tucson Blogger,Active,Pending,,,,,Pending,Pending - data not yet available
27928081,10025432377,The Minimal Mom,Active,,,0,0,0,Verified,Never Activated
27936470,10025440506,vic and val,Active,Pending,,,,,Pending,Pending - data not yet available
27963498,10025467810,Alyssa,Active,,,0,0,0,Verified,Never Activated
27991671,10025495822,Kalie Wright Korfe,Active,Pending,,,,,Pending,Pending - data not yet available
27998015,10025502267,_ale.prez,Active,Pending,,,,,Pending,Pending - data not yet available
28003970,10025508915,Georgina Whalen,Active,Pending,,,,,Pending,Pending - data not yet available
28028758,10025533580,vivalastina,Active,Pending,,,,,Pending,Pending - data not yet available
28032387,10025537191,alyssaparente_,Active,Pending,,,,,Pending,Pending - data not yet available
28032433,10025537240,alexiabrook4,Active,,,0,0,0,Verified,Never Activated
28033980,10025538788,kendallmeadebaker,Active,Pending,,,,,Pending,Pending - data not yet available
28037146,10025541937,David Dial  Food Blogger,Active,Pending,,,,,Pending,Pending - data not yet available
28037166,10025541958,haleighwhitcraft,Active,Pending,,,,,Pending,Pending - data not yet available
28037276,10025542068,halleyryann,Active,Pending,,,,,Pending,Pending - data not yet available
28037287,10025542080,ALYSSA JOBES,Active,Pending,,,,,Pending,Pending - data not yet available
28037288,10025542081,natalie.0220,Active,Pending,,,,,Pending,Pending - data not yet available
28037315,10025542109,erinoarchibald,Active,Pending,,,,,Pending,Pending - data not yet available
28037320,10025542115,ashleygalvan18,Active,,,0,0,0,Verified,Never Activated
28051936,10025556114,Andie + Alex,Active,,,0,0,0,Verified,Never Activated
28054523,10025558654,Natalia Hasenkampf | San Diego + Travel,Active,Pending,,,,,Pending,Pending - data not yet available
28061731,10025566004,nicole marie ballantine 🌻,Active,Pending,,,,,Pending,Pending - data not yet available
28061761,10025566034,aleynaariana,Active,,,0,0,0,Verified,Never Activated
28061803,10025566076,Paloma Diaz Rivas,Active,Pending,,,,,Pending,Pending - data not yet available
28062054,10025566326,Alexanndra Jay,Active,,,0,0,0,Verified,Never Activated
28062119,10025566391,Alecia,Active,Pending,,,,,Pending,Pending - data not yet available
28062131,10025566403,ANTI💰OCIAL💙,Active,Pending,,,,,Pending,Pending - data not yet available
28062354,10025566626,aliciasharel,Active,,,0,0,0,Verified,Never Activated
28062583,10025566853,Alyssa Lilja,Active,Pending,,,,,Pending,Pending - data not yet available
28062914,10025567180,ALEX DRY🌊,Active,Pending,,,,,Pending,Pending - data not yet available
28062968,10025567235,Jalisha Vee,Active,Pending,,,,,Pending,Pending - data not yet available
28062975,10025567242,ashley ballard,Active,Pending,,,,,Pending,Pending - data not yet available
28063520,10025567792,Alli,Active,Pending,,,,,Pending,Pending - data not yet available
28063539,10025567811,Natalia | DC MD VA Content Creator,Active,Pending,,,,,Pending,Pending - data not yet available
28063674,10025567946,cardinhealing,Active,Pending,,,,,Pending,Pending - data not yet available
28063976,10025568247,Alex,Active,Pending,,,,,Pending,Pending - data not yet available
28064203,10025568473,Alison Blackman  Editor/Writer,Active,Pending,,,,,Pending,Pending - data not yet available
28064222,10025568492,valerieealexandraa,Active,,,0,0,0,Verified,Never Activated
28071023,10025575189,aleecia_wit_2_es,Active,Pending,,,,,Pending,Pending - data not yet available
28071078,10025575245,Alexis,Active,Pending,,,,,Pending,Pending - data not yet available
28071526,10025575715,ANGELINA VILLALOBOS SOTO,Active,Pending,,,,,Pending,Pending - data not yet available
28072135,10025576299,Shalice Ader L.,Active,,,0,0,0,Verified,Never Activated
28072167,10025576331,Natalia Amaya | Miami Shuffle Dancer,Active,Pending,,,,,Pending,Pending - data not yet available
28072170,10025576334,Ashley K. Allen,Active,Pending,,,,,Pending,Pending - data not yet available
28073156,10025577316,shescalimade_,Active,Pending,,,,,Pending,Pending - data not yet available
28073178,10025577338,Isowa Gallery,Active,Pending,,,,,Pending,Pending - data not yet available
28078234,10025582354,alexisgomezdingman,Active,Pending,,,,,Pending,Pending - data not yet available
28089011,10025593516,tallie spencer,Active,Pending,,,,,Pending,Pending - data not yet available
28089069,10025593574,Aileen : Artist : Installation : Sculptures,Active,Pending,,,,,Pending,Pending - data not yet available
28089184,10025593690,Dina Ali Wray,Active,Pending,,,,,Pending,Pending - data not yet available
28089221,10025593727,Aleisha Nelson,Active,,,0,0,0,Verified,Never Activated
28089988,10025594601,Alyssa DiCicco,Active,Pending,,,,,Pending,Pending - data not yet available
28090409,10025595075,alisha_southern_crew,Active,,,0,0,0,Verified,Never Activated
28090931,10025595597,the.sales.girl,Active,,,0,0,0,Verified,Never Activated
28091759,10025596390,Yesenia Vidales Valentine,Active,Pending,,,,,Pending,Pending - data not yet available
28091810,10025596442,Brittaineay Walley,Active,Pending,,,,,Pending,Pending - data not yet available
28092173,10025596799,Crystal Sehy,Active,,,0,0,0,Verified,Never Activated
28093264,10025597883,Layal Abirafeh,Active,Pending,,,,,Pending,Pending - data not yet available
28096499,10025601095,Hallie George,Active,Pending,,,,,Pending,Pending - data not yet available
28096502,10025601098,Alyssa Gonzalez,Active,Pending,,,,,Pending,Pending - data not yet available
