Id,PublisherId,PublisherName,Status,InstagramHandle,TikTokHandle
12092223,10010901746,Ellis  Sara Smith,Active,thefemaleceo_,
12092227,10010901747,Emily  Norris,Active,emilynorrishome,mrsemilynorris
12092353,10010901857,katie,Active,katie_ellison_home,
12092358,10010901859,Rosie  henshaw,Active,rosiehenshawhome,
12092362,10010901860,Jazzybum,Active,jazzybum,jazzybumblee
12092602,10010902018,Corrie  Bromfield,Active,corriebromfield,
12092694,10010902089,hellooctoberathome,Active,suziebonaldiathome,
12120512,10010926894,Sarah Robertson | Studio Dearborn | Kitchen Design,Active,studiodearborn,studiodearborn
12120518,10010926895,Thomas Theobald | Design & Style,Active,rustandtrust,
12120562,10010926902,biablooms,Active,biablooms,
12120582,10010926916,Nick Cutsumpas,Active,farmernick,
12157607,10010952610,Suzie,Active,hellooctoberxo,
12335105,10011113736,Lamb  & Co | Unsellable Houses,Active,lambandcompany,
12361234,10011136214,Christy Carlson Romano,Active,thechristycarlsonromano,christycarlsonromano
12375509,10011146970,Rebecca  Lamb,Active,,
12381683,10011153382,Joy  Corts,Active,joyofbakingsugarartist,
12382580,10011154685,Chelsey White,Active,chelsweets,chelsweets
12382778,10011154890,Joyful  Bakers,Active,,joyfulbakers
12383056,10011155301,Happy  Bakers,Active,,happybakers
12383257,10011155706,Meghan  Rosko,Active,nutmegandhoneybee,
12383258,10011155707,Laura ✨ Baking Recipes,Active,tutti_dolci,tutti_dolci
12383270,10011155719,Gemma  Stafford,Active,biggerbolderbaking,biggerbolderbaking
12383272,10011155722,Cake  Cake Cake,Active,yourfavsfav13,
12383276,10011155726,Tamara  Eckles,Active,jemofthesouth,
12383280,10011155729,Michelle,Active,thebrowneyedbaker,
12383281,10011155730,Manuela  Kjeilen,Active,passionforbaking,passionforbaking
12383282,10011155731,Jessica  I Sweetest Menu,Active,sweetestmenu,
12383284,10011155733,Kristine Underwood,Active,kristineinbetween,
12383487,10011155945,alana  jones-mann,Active,alanajonesmann,
12383497,10011156148,Dessert for Two,Active,dessertfortwo,
12383502,10011156153,Victoria  Holmes,Active,theblondebaker_,
12383693,10011156356,The  Kate Tin,Active,thekatetin,
12383695,10011156361,Liz  Berg,Active,thatskinnychickcanbake,
12383895,10011156566,Maryanne Cabrera,Active,littleepicurean,
12383898,10011156569,Jonathan Melendez,Active,jonjon33,
12383903,10011156574,Make  Fabulous Cakes,Active,makefabulouscakes,
12383905,10011156576,Traci  York,Active,vanillaandbean,
12412558,10011181475,Lily  Pebbles,Active,lilypebbles,lilypebbles
